filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	pre_gt_iou	pre_ng_psnr	pre_ng_ssim	pre_ng_fg_psnr	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
HUMAN_1b_y512x0.png	0.355046	0.482103	0.650566	0.543672	0.809783	0.998538	24.612786	0.995615	29.976292	0.478026	0.619289	0.947298	31.137442	0.758905	3952	7	0	9	23	1.825000	0.000000	80	73	382.776695	5.927826	0.000000	-0.007935	-6.617743	-0.000942	-0.000892	-0.010164	7974.178791	0.478026	0.478026	7	0	7	9	23	1.825000	0.000000	7	0	80	73	48	5.243516	5.927826	382.776695	0.000000	42141	10.663209	16.582996	256x256	65536	dense	Otsu	517	7	55	3856	34.798459	0.820073	31.310455	0.996506	0.488191	0.731526	8	13	0.000000	71	3918	35.272703	0.838597	0.997451	32.639009	0.814741	0.486677	539	32.660797	0.767979	0.992355	27.306119	0.954951	0.484874	-1.334163	-0.112237	-3.661016	-0.061168	True	0.352481	31.154503	0.759003	30.007283	0.829326	0.785619	0.362981	31.230529	0.999480	HUMAN_1b_y512x0
HUMAN_1b_y512x256.png	0.327984	0.430739	0.602121	0.457113	0.881874	0.999371	26.763060	0.994121	29.416498	0.674302	0.873814	0.766761	33.338212	0.821145	2483	2	0	3	8	1.913043	0.000000	46	44	227.195959	9.182240	0.000000	0.003490	-3.985397	-0.000444	-0.000639	0.005509	2720.010996	0.674302	0.674302	2	0	2	3	8	1.913043	0.000000	2	0	46	44	35	5.163545	9.182240	227.195959	0.000000	40724	16.401128	26.393878	256x256	65536	sparse	Otsu	280	2	46	2478	35.896614	0.845261	30.111332	0.994760	0.668793	0.954951	3	9	0.000000	72	2220	36.400864	0.851668	0.996949	31.954620	0.886505	0.670396	3802	37.428249	0.859512	0.999246	37.909478	0.472228	0.673637	-0.694834	-0.081137	-2.558401	-0.024116	True	0.328216	33.355162	0.821470	29.459621	0.941574	0.721963	0.324494	30.748457	0.999815	HUMAN_1b_y512x256
HUMAN_1b_y768x0.png	0.311832	0.366395	0.536294	0.407253	0.785040	0.998605	24.309183	0.996773	30.055031	0.560667	0.878762	1.077131	31.096977	0.812811	5945	8	9	33	31	2.010152	1.125000	197	198	948.139177	3.363208	0.000000	0.004553	-8.244745	-0.000896	-0.001305	0.004317	2408.505201	0.560667	0.560667	8	9	-1	33	31	2.010152	1.125000	8	9	197	198	133	4.788582	3.363208	948.139177	0.000000	40629	6.834146	11.023717	256x256	65536	dense	Learned	823	8	75	5837	36.540922	0.874656	32.386597	0.998078	0.556350	0.442730	34	42	0.000000	81	5890	37.529793	0.898206	0.998877	34.609976	0.328140	0.556139	342	30.048490	0.765141	0.988762	23.022700	0.487560	0.481291	-2.331567	0.436032	-5.443945	-0.061845	True	0.311856	31.102146	0.813233	30.076649	0.563554	0.607021	0.307279	32.553928	0.999501	HUMAN_1b_y768x0
HUMAN_1b_y768x256.png	0.370880	0.423219	0.594735	0.506529	0.720140	0.996281	25.496598	0.996472	29.901718	0.520757	0.753693	0.840043	29.508161	0.758524	8877	17	8	46	65	1.940594	0.470588	303	294	1363.668181	3.265613	0.000000	0.008449	-7.298995	-0.002708	-0.001651	0.018027	3375.673056	0.520757	0.520757	17	8	9	46	65	1.940594	0.470588	17	8	303	294	192	4.638327	3.265613	1363.668181	0.000000	43696	4.922384	7.382674	256x256	65536	dense	Learned	1181	17	77	8820	35.112714	0.868379	32.716447	0.998123	0.502730	0.404488	60	51	0.000000	79	8610	36.332225	0.909063	0.998584	34.178300	0.330078	0.499596	247	20.460887	0.537421	0.963816	15.800614	0.869971	0.345569	-2.814729	0.349205	-5.604553	-0.109855	True	0.371054	29.515797	0.758585	29.914657	0.645296	0.542076	0.362431	32.795594	0.998989	HUMAN_1b_y768x256
HUMAN_1b_y768x512.png	0.247387	0.246227	0.395156	0.255354	0.873239	0.999650	25.593111	0.999075	31.434495	0.643300	0.972124	1.000000	35.047915	0.776014	1662	1	2	8	6	2.045455	2.000000	44	45	206.095454	3.837361	0.000000	0.022276	-5.325975	-0.000174	-0.000106	-0.011116	1557.693720	0.643300	0.643300	1	2	-1	8	6	2.045455	2.000000	1	2	44	45	30	4.579899	3.837361	206.095454	0.000000	40899	24.608303	39.432010	256x256	65536	sparse	Learned	244	1	35	1633	35.556195	0.784640	32.135228	0.999181	0.654416	0.872546	1	0	0.500000	68	1588	35.896546	0.801743	0.999209	32.430551	0.374104	0.636204	5717	37.160299	0.860494	0.999777	37.616894	0.259799	0.626016	-0.700733	0.099578	-0.508281	-0.008626	True	0.247905	35.059124	0.776135	31.464740	0.653544	0.653544	0.225111	30.919086	0.999824	HUMAN_1b_y768x512
HUMAN_2b_y0x256.png	0.292289	0.414818	0.586390	0.440774	0.875687	0.997320	22.576423	0.993488	29.436396	0.568457	0.871265	1.446338	29.198602	0.869274	4244	4	0	8	17	1.912088	0.000000	91	87	446.835570	8.599774	0.000000	-0.021402	-9.198404	-0.002372	-0.001800	-0.029863	4043.114662	0.568457	0.568457	4	0	4	8	17	1.912088	0.000000	4	0	91	87	66	5.136041	8.599774	446.835570	0.000000	37563	8.850848	15.442036	256x256	65536	sparse	Otsu	450	4	66	4175	36.538239	0.925767	31.135293	0.995288	0.598320	0.847964	11	31	0.000000	80	4154	38.580184	0.934661	0.998087	35.051723	0.754633	0.597145	475	30.322244	0.857034	0.981314	24.094331	0.923209	0.580763	-1.698897	0.023301	-7.339637	-0.056493	True	0.292389	29.203259	0.869935	29.470756	0.641066	0.927197	0.313692	31.774827	0.999691	HUMAN_2b_y0x256
HUMAN_2b_y0x512.png	0.161374	0.011425	0.022593	0.711864	0.011479	0.988470	18.994329	0.999992	25.718063	0.003021	0.228948	1.443549	27.322044	0.733479	610	1	0	0	2	1.600000	0.000000	5	4	13.242641	1.952247	0.000000						574.127674	0.003021	0.003021	1	0	1	0	2	1.600000	0.000000	1	0	5	4	3	3.310660	1.952247	13.242641	0.000000	39733	65.136066	107.436066	256x256	65536	sparse	Frangi	59	1												1	586	32.004417	0.810667	0.999989	23.980504	0.730480	0.003355												True	0.161050	27.318126	0.733660	25.746484	0.627329	0.905580				HUMAN_2b_y0x512
HUMAN_2b_y0x768.png	0.121035	0.221645	0.362864	0.228630	0.878860	0.999451	31.001358	0.995492	32.694805	0.374629	0.835526	1.527235	37.359706	0.923763	4211	8	5	26	35	1.967033	0.625000	182	179	814.168614	3.373456	0.000000	-0.004890	-3.304327	-0.000300	-0.002100	-0.010022	1982.560873	0.374629	0.374629	8	5	3	26	35	1.967033	0.625000	8	5	182	179	121	4.548428	3.373456	814.168614	0.000000	31043	7.371883	15.563049	256x256	65536	sparse	Learned	568	8	81	4014	41.167465	0.952120	35.298304	0.997591	0.384651	0.620375	28	52	0.000000	90	4190	43.399401	0.961452	0.999126	40.027551	0.511803	0.379399	470	36.979026	0.888249	0.994057	30.534911	0.997757	0.369258	-2.603498	0.215151	-3.807759	-0.028357	True	0.120309	37.375587	0.924706	32.699965	0.622178	0.950213	0.125925	34.305685	0.999750	HUMAN_2b_y0x768
HUMAN_2b_y256x512.png	0.275158	0.526621	0.689918	0.559959	0.898431	0.999092	26.564965	0.998524	29.965192	0.439441	0.374998	1.073116	35.270795	0.914818	1970	6	0	2	14	1.684211	0.000000	38	32	158.610173	5.245382	0.000000	-0.022864	-4.306196	-0.000661	-0.000220	-0.017629	1821.605682	0.439441	0.439441	6	0	6	2	14	1.684211	0.000000	6	0	38	32	22	4.956568	5.245382	158.610173	0.000000	33435	16.972081	33.267005	256x256	65536	sparse	Meijering	222	6	48	1954	39.247871	0.929932	30.949032	0.998744	0.457070	0.440901	14	7	0.000000	80	1860	40.343342	0.935693	0.999460	34.481284	0.506541	0.443266	4650	41.862973	0.944667	0.999894	41.302773	0.350082	0.459123	-0.983840	-0.065903	-3.977076	-0.015114	True	0.274691	35.322660	0.915775	29.969773	0.621674	0.667129	0.298022	30.871162	0.999753	HUMAN_2b_y256x512
HUMAN_2b_y256x768.png	0.207202	0.464770	0.634598	0.493880	0.887451	0.998855	23.937780	0.999107	30.231176	0.372749	0.445673	2.301318	35.818206	0.891788	1672	4	0	2	10	1.733333	0.000000	30	26	130.982756	4.726998	0.000000	-0.012400	-6.442240	-0.000982	-0.000076	-0.019480	1484.423637	0.372749	0.372749	4	0	4	2	10	1.733333	0.000000	4	0	30	26	18	5.037798	4.726998	130.982756	0.000000	35944	21.497608	39.196172	256x256	65536	sparse	Meijering	209	4	36	1667	38.346061	0.898213	30.782155	0.999183	0.392229	0.983261	2	7	0.000000	77	1654	39.133390	0.909153	0.999541	33.164356	0.608168	0.389420	5481	40.967410	0.933775	0.999932	41.154255	0.520390	0.404055	-0.550979	-0.537588	-2.527855	-0.006425	True	0.206758	35.845307	0.892338	30.240565	0.379151	0.872546	0.219602	30.380019	0.999837	HUMAN_2b_y256x768
