filename,gt_iou,seg_iou,seg_f1,seg_precision,seg_recall,gt_fg_ssim,gt_fg_psnr,ng_fg_ssim,ng_fg_psnr,ng_iou,ng_topo_q,topo_preservation,ng_psnr,ng_ssim,ng_bytes,graph_n_components,graph_n_cycles,graph_n_junctions,graph_n_endpoints,graph_mean_degree,graph_complexity,n_nodes,n_edges,total_edge_length,mean_width_px,mean_curvature,delta_gt_iou,delta_gt_fg_psnr,delta_gt_fg_ssim,delta_fg_ssim,delta_iou,total_time_ms,self_iou,ng_recon_iou,ng_n_components,ng_n_cycles,ng_euler_characteristic,ng_n_junctions,ng_n_endpoints,ng_mean_degree,ng_graph_complexity,ng_seg_beta_0,ng_seg_beta_1,graph_n_nodes,graph_n_edges,graph_n_sampled,graph_mean_edge_length,graph_mean_width,graph_total_edge_length,graph_mean_curvature,png_bytes,ng_vs_png,ng_vs_raw,image_shape,image_pixels,image_type,segmenter,n_points,n_structures,jpeg_quality,jpeg_bytes,jpeg_psnr,jpeg_ssim,jpeg_fg_psnr,jpeg_fg_ssim,jpeg_iou,jpeg_topo_q,jpeg_beta_0,jpeg_beta_1,jpeg_betti_preservation,webp_quality,webp_bytes,webp_psnr,webp_ssim,webp_fg_ssim,webp_fg_psnr,webp_topo_q,webp_iou,jp2_bytes,jp2_psnr,jp2_ssim,jp2_fg_ssim,jp2_fg_psnr,jp2_topo_q,jp2_iou,delta_fg_psnr,delta_topo_q,delta_psnr,delta_ssim,gt_available,pre_gt_iou,pre_ng_psnr,pre_ng_ssim,pre_ng_fg_psnr,gt_topology_q,recon_topology_q,jpeg_gt_iou,jpeg_gt_fg_psnr,jpeg_gt_fg_ssim,stem
7249.png,0.6109646810753822,0.9122354155911203,0.9541036717062634,0.9449197860962567,0.9634678298800436,0.9989914230273638,28.253285428665418,0.999061650834444,28.504015105910568,0.6205450733752621,0.657676814056212,0.43340991288298336,30.652664657017397,0.55585083137152,2521,5,0,2,12,1.8412698412698412,0.0,63,58,306.07821048680194,2.975832512550493,0.0,-0.010467467146951348,0.010511657850251765,-5.080681196223402e-05,3.523124446158654e-05,-0.002657703025332858,5640.35964012146,0.6205450733752621,0.6205450733752621,5,0,5,2,12,1.8412698412698412,0.0,5,0,63,58,49,5.277210525634515,2.975832512550493,306.07821048680194,0.0,45624,18.09758032526775,25.996033320111067,256x256,65536,sparse,Learned,319,5,28,2496,31.012759627053356,0.615383979331128,28.232048143956728,0.9990264195899824,0.623202776400595,0.32744182566942426,12,4,0.0,35,2454,31.291314190670864,0.6620164800089317,0.9989072703604447,27.867743738287693,0.2910710719504892,0.5840040241448692,3640,31.45594488954145,0.6690719703249124,0.9993160756867451,29.98377067044506,0.3325466069461055,0.5914786967418546,0.27196696195384007,0.3302349883867878,-0.36009497003595925,-0.05953314795960796,True,0.6104375329467581,30.65368154434974,0.5558790638291489,28.502093732226722,0.6776121644545745,0.2936838291647069,0.6214321482223335,28.242773770815166,0.999042229839326,7249
7250.png,0.6407982261640798,0.8679135008766803,0.9292866082603255,0.9172328597899938,0.9416613823715916,0.9990021407054068,28.250846440810765,0.9990615215029315,28.504649932354347,0.6742889012827663,0.7191683782216203,0.7232874171341973,31.332172870652208,0.5890893749672315,2334,4,1,6,12,1.9,0.25,60,57,285.37972567696704,2.977618826488969,0.0,0.033117894041609586,-0.033956373426104136,-0.00013362557357787797,1.5393034760946556e-05,0.0439669905870238,1227.5006771087646,0.6742889012827663,0.6742889012827663,4,1,3,6,12,1.9,0.25,4,1,60,57,42,5.006661853981876,2.977618826488969,285.37972567696704,0.0,44906,19.23993144815767,28.07883461868038,256x256,65536,sparse,Learned,300,4,29,2254,31.673815927864553,0.6355705015580747,28.27976626241128,0.9990461284681705,0.6303219106957425,0.5288128887247132,8,8,0.0,40,2272,31.99915710499809,0.6769168021789304,0.9989987515556635,28.387641381869635,0.5404465399532159,0.6134585289514867,3883,32.28607028529496,0.7076340558974653,0.9994679285063965,31.224137321824376,0.28273340851525197,0.6327160493827161,0.2248836699430683,0.19035548949690706,-0.34164305721234456,-0.04648112659084325,True,0.6384274640088593,31.333857643771047,0.589086118601217,28.503765188535635,0.7433392230464442,0.5376479066918036,0.6076803321224702,28.28480281423687,0.9991357662789847,7250
7251.png,0.7752161383285303,0.8544668587896254,0.9215229215229216,0.9280125195618153,0.9151234567901234,0.9988477501495722,25.19372445553683,0.9994932544090264,27.134131432728488,0.8657513348588863,0.7032899857059547,0.8472567012595011,31.14341292503021,0.6059269063531394,2423,4,0,4,12,1.8545454545454545,0.0,55,51,275.4507934888324,2.3642202751633064,0.0,0.03132133557336436,-2.4173107572227153,-0.0006755197216947728,-7.698774186981616e-05,0.11337641402291421,834.2499732971191,0.8657513348588863,0.8657513348588863,4,0,4,4,12,1.8545454545454545,0.0,4,0,55,51,39,5.400995950761419,2.3642202751633064,275.4507934888324,0.0,44830,18.50185720181593,27.047461824184897,256x256,65536,sparse,Learned,298,4,30,2387,31.860479106431324,0.6541271176068617,27.650898634016553,0.9995702421508962,0.7523749208359721,0.5740074125998693,6,1,0.25,41,2372,32.19708627137943,0.694537179265732,0.9995854345505846,28.12285900889135,0.7394602921400244,0.7539834289356278,3790,32.41558434595102,0.7089880208750731,0.9997828889548818,31.16721237144894,0.5573606726386489,0.7420785804816223,-0.5167672012880651,0.12928257310608537,-0.7170661814011154,-0.048200211253722314,True,0.7752161383285303,31.149035471341072,0.6060093120104517,27.13057898065372,0.7247292169102477,0.6140316856257579,0.743894802755166,27.611035212759546,0.9995232698712669,7251
7252.png,0.8003533568904594,0.9189895470383276,0.9577848388561052,0.943649373881932,0.9723502304147466,0.9993589882341434,27.40094792250797,0.9993934188100221,27.697521765892755,0.824669603524229,0.5392962190010342,1.0894517365430267,30.807314650978952,0.5536714072219613,1892,4,0,1,9,1.8,0.0,40,36,174.61017305526644,2.962086363295241,0.0,0.014934964181263055,-0.08627658773493607,-5.08561304262134e-05,3.621410766219135e-05,0.029755739701423423,1093.0676460266113,0.824669603524229,0.824669603524229,4,0,4,1,9,1.8,0.0,4,0,40,36,30,4.850282584868512,2.962086363295241,174.61017305526644,0.0,45467,24.031183932346725,34.6384778012685,256x256,65536,sparse,Learned,239,4,23,1881,30.87988660244909,0.5882559265026728,27.44353652901146,0.9993572047023599,0.7949138638228056,0.5415939886947765,4,1,0.5,31,1888,31.26611239317134,0.6319967504346891,0.9992677673823134,26.909524439406255,0.6074141344684816,0.7889160554197229,4893,32.09367974748315,0.7230883485567786,0.999734843810055,31.439515107053538,0.6155724752496214,0.7771381578947368,0.25398523688129515,-0.002297769693742291,-0.07257195147013817,-0.03458451928071149,True,0.8021201413427562,30.81046551379292,0.5536911258312579,27.700917847282636,0.5484187650774077,0.597475775966364,0.7854183927091963,27.487224510242907,0.9994098443645696,7252
7253.png,0.5391304347826087,0.8473138548539114,0.9173469387755101,0.8779296875,0.9604700854700855,0.9995028589458274,27.73003626021723,0.9995360966317943,28.10001066037919,0.5724976613657624,0.5768379176822511,0.5030309214478391,31.155322937500102,0.5797395606458554,1839,4,0,2,10,1.8222222222222222,0.0,45,41,195.33809511662426,2.666628844571912,0.0,0.01585296737106312,-0.04181118597197653,-8.784141088169495e-05,6.284884978335903e-06,0.019344508212609246,964.4451141357422,0.5724976613657624,0.5724976613657624,4,0,4,2,10,1.8222222222222222,0.0,4,0,45,41,33,4.7643437833323,2.666628844571912,195.33809511662426,0.0,44924,24.428493746601415,35.63675910821098,256x256,65536,sparse,Learned,253,4,24,1732,31.4606456971288,0.6096458442678412,27.74061488175991,0.999529811746816,0.5531531531531532,0.3122196249249557,7,2,0.0,34,1710,31.695093216260947,0.6460565528011312,0.9994859681265033,27.629922584589757,0.22190689591947144,0.5394853593611357,5117,32.64945329177711,0.7442231532870843,0.9997911827862914,31.99893264275044,0.2628766256083722,0.5638766519823789,0.3593957786192803,0.2646182927572954,-0.30532275962869804,-0.029906283621985774,True,0.5400966183574879,31.159136351803546,0.5797963076538545,28.092430553653287,0.581048450752361,0.2922853375877995,0.5232774674115456,27.771847446189206,0.999590700356709,7253
7254.png,0.8002915451895044,0.9212253829321663,0.958997722095672,0.9633867276887872,0.9546485260770975,0.9992410741812272,27.06879279454359,0.9994082797990341,27.70143236470099,0.8302308265078183,0.6720847211004115,0.8505106272606018,31.22223652594027,0.5900561038886978,2309,4,0,2,10,1.8461538461538463,0.0,52,48,258.7645019878171,2.642569283553387,0.0,0.025175111390435823,-0.620418958002201,-0.00018259123500896646,-2.1688166442324075e-05,0.047680490937348496,904.9417972564697,0.8302308265078183,0.8302308265078183,4,0,4,2,10,1.8461538461538463,0.0,4,0,52,48,40,5.390927124746191,2.642569283553387,258.7645019878171,0.0,44986,19.48289302728454,28.382849718492853,256x256,65536,sparse,Learned,298,4,29,2286,31.62731655634182,0.6362015929483265,27.662885540937452,0.9994299679654765,0.7825503355704698,0.5950533706734951,5,2,0.0,37,2192,31.842865267593563,0.6741318036308631,0.9993633763305241,27.61029187737119,0.5083558025390349,0.7687667560321716,3998,32.22344499938911,0.705249165006452,0.9997234428504679,31.194030381650393,0.3675675219699778,0.7604026845637584,0.03854682376353935,0.07703135042691645,-0.4050800304015496,-0.046145489059628675,True,0.8008752735229759,31.22281710012502,0.5900698206123134,27.699878695432176,0.6880773379673533,0.5852170883184187,0.7751164337990686,27.68921175254579,0.9994236654162362,7254
7255.png,0.728538283062645,0.8976135488837568,0.9460446247464503,0.9533932951757972,0.9388083735909822,0.999157861056061,26.95710552923387,0.9994253306868001,27.76754906289081,0.7671451355661882,0.6190168002606627,0.8882198851725365,30.684097209420766,0.5500188373799477,2058,4,1,3,9,1.8695652173913044,0.25,46,43,224.37972567696693,2.858136075669276,0.0,0.017250294640068997,-0.44333635095209445,-0.00019001021889009095,1.9208971014483822e-05,0.034501117840929796,1023.3199596405029,0.7671451355661882,0.7671451355661882,4,1,3,3,9,1.8695652173913044,0.25,4,1,46,43,34,5.218133155278299,2.858136075669276,224.37972567696693,0.0,45536,22.12633624878523,31.844509232264333,256x256,65536,sparse,Learned,262,4,25,2037,30.97788707509978,0.5957117212209709,27.444819225182457,0.9994061217157856,0.7326440177252584,0.45845728522436724,6,1,0.75,32,2038,31.21070569853911,0.6395731272424849,0.9993305706449995,27.11347895953143,0.46634194949700947,0.737987987987988,4251,31.743871679921703,0.695610600337596,0.9997054933851595,30.97739931949253,0.3880539237847034,0.7310549777117384,0.32272983770835495,0.1605595150362955,-0.2937898656790132,-0.04569288384102321,True,0.7293116782675947,30.68820425507119,0.5500515612652148,27.768810108898315,0.6518075726938024,0.5789484473726789,0.711287988422576,27.400441880185966,0.9993478712749511,7255
7256.png,0.4901685393258427,0.8185595567867036,0.9002284843869003,0.9036697247706422,0.8968133535660091,0.9989836049235461,28.42130911633553,0.9992138718667177,28.983010128086313,0.5348837209302325,0.6604044743550609,0.4480392805551223,31.605527675720296,0.6030372393486976,2117,4,0,3,11,1.849056603773585,0.0,53,49,242.23759005323598,2.8936701829524836,0.0,-0.011820850594581711,-0.7113392683927593,-0.00028778613110169715,-4.333910571852062e-05,0.0008701154880556006,1232.6829433441162,0.5348837209302325,0.5348837209302325,4,0,4,3,11,1.849056603773585,0.0,4,0,53,49,39,4.943624286800734,2.8936701829524836,242.23759005323598,0.0,44562,21.04959848842702,30.95701464336325,256x256,65536,sparse,Learned,280,4,29,2114,32.027301766134016,0.6443705717888403,29.039276974705956,0.9992572109724362,0.5340136054421769,0.2570621292009626,14,0,0.0,40,1998,32.278548176153194,0.6771779571620437,0.9991280816793426,28.82763930626124,0.35079062331485267,0.528173794976239,4120,32.68972936130525,0.7263509878533555,0.9995332110127932,31.587624902171598,0.24077305837473606,0.5336505778382054,-0.05626684661964276,0.4033423451540983,-0.42177409041372016,-0.0413333324401427,True,0.48771929824561405,31.606895480707145,0.6030376638645093,28.9777412325068,0.6988057880877979,0.31309244254261226,0.5019893899204244,29.132648384728288,0.9992713910546478,7256
7257.png,0.6340652029274784,0.815086782376502,0.8981243104082383,0.920814479638009,0.8765254845656856,0.9990700226215443,27.522465467476653,0.9993776057140846,28.08002272682539,0.6955287437899219,0.7032899857059547,0.5547859428836922,30.327108357979093,0.5309191833972352,2238,4,2,4,9,1.9310344827586208,0.5,58,56,277.2792206135787,2.384491337264863,0.0,0.02015633002579975,-0.4791789752590567,-0.00026128855596108114,1.0793319656254852e-05,0.05490374378992191,955.3012847900391,0.6955287437899219,0.6955287437899219,4,2,2,4,9,1.9310344827586208,0.5,4,1,58,56,45,4.951414653813903,2.384491337264863,277.2792206135787,0.0,45763,20.448168007149242,29.283288650580875,256x256,65536,sparse,Learned,306,4,25,2124,30.718891472980864,0.5862644504412541,27.865649671634266,0.9993668123944284,0.640625,0.40547945202980573,10,4,0.0,31,2044,30.937600006667118,0.6253952693120267,0.9992582074409467,27.297323417512686,0.24739181580152425,0.6335403726708074,4213,31.463969415774102,0.6870055411633933,0.999676534271229,30.961835492850163,0.10255651342358696,0.5969357690041249,0.2143730551911247,0.29781053367614896,-0.3917831150017719,-0.055345267044018875,True,0.6351531291611185,30.329029318375476,0.5309053378545222,28.07309423927098,0.7261021356685544,0.4028312579667416,0.6139088729016786,28.00164444273571,0.9993313111775054,7257
7258.png,0.7548512289780077,0.858242463117383,0.9237141870900932,0.9523131672597864,0.8967828418230563,0.9990796717128216,26.140682605906072,0.9994495085663353,27.217480067225857,0.8147892190739461,0.6291657197018043,0.8350161688597175,30.060793468310916,0.5289369982192867,2406,5,0,1,11,1.8113207547169812,0.0,53,48,286.492424049175,2.497510570318051,0.0,-0.00010372597694718877,-1.222121153461849,-0.00038129937318909235,-6.236189251751512e-05,0.05172951758140876,924.1678714752197,0.8147892190739461,0.8147892190739461,5,0,5,1,11,1.8113207547169812,0.0,5,0,53,48,41,5.968592167691145,2.497510570318051,286.492424049175,0.0,46114,19.166251039068992,27.238570241064007,256x256,65536,sparse,Learned,307,5,26,2405,30.55181032763364,0.5937790781183482,27.29779268027543,0.9995118704588528,0.7630597014925373,0.421123814743799,9,1,0.09999999999999998,28,2220,30.704281904952246,0.630602319375829,0.999408774715989,26.637341166746307,0.6379597914565125,0.7492202121023082,3721,31.088559339071008,0.6570206280169227,0.9997281553945451,30.193396745821424,0.5570443887454478,0.756875,-0.08031261304957127,0.20804190495800534,-0.4910168593227233,-0.06484207989906143,True,0.7553398058252427,30.059409912898836,0.5289286712551048,27.217071814439016,0.657676814056212,0.549170773621083,0.7549549549549549,27.36280375936792,0.9994609710860107,7258
